Dataset right,,Dataset left,
X,Y,X,Y
0.000020453575149074358,0.47087378640776656,0.00001540608563949962,0.3155339805825239
0.00002873833072914388,0.39805825242718473,0.00001960232982646289,0.28155339805825275
0.000040378840719933095,0.34466019417475735,0.000025658470777101687,0.24757281553397892
0.00003406494501784583,0.3689320388349522,0.00003504413822153716,0.20873786407766914
0.000024590605962506704,0.4320388349514568,0.00004522562896088288,0.18932038834951292
0.000010360593046256406,0.6650485436893208,0.00005836518227320644,0.16504854368931987
0.000008142714930301328,0.7427184466019412,0.00008928309378485,0.13106796116504693
0.00001775132475001741,0.5048543689320386,0.00012194214950000082,0.1213592233009706
0.00004854604410865674,0.3106796116504844,0.0001974170306444481,0.09223300970873805
0.00006354434728591784,0.27669902912621325,0.00015082090361779956,0.10679611650485299
0.00007971470835794239,0.23786407766990258,0.00027347842931333744,0.07281553398058183
0.00011200328725276535,0.20388349514563053,0.0003897348398847056,0.0631067961165046
0.00014869887824680488,0.1796116504854357,0.000563338237614651,0.05339805825242738
0.0003019951720402044,0.12621359223300832,0.0007270067807853888,0.05825242718446422
0.0002211135639185792,0.14563106796116543,0.0009651957137350785,0.053398058252425606
0.000488912081487753,0.10194174757281527,0.0016537183233953105,0.043689320388348385
0.0009929401613666892,0.05339805825242738,0.005754399373371626,0.029126213592232553
0.0006869467559027232,0.08252427184465994,0.0029986313485755793,0.043689320388348385
0.001701254279852603,0.053398058252425606,,
0.002998631348575598,0.048543689320386996,,
0.00528538859307929,0.03398058252427116,,
